RSO_Identifier,RSO_Weight,RSO_Density,RSO_Visibility,RSO_MRP,Orbit_Establishment_Year,Orbit_Height,Stealth_Type,RSO_Type,Survivability
FDH60,12.83826427,2,0.080346058,195.711,1985,2,3,3,5499.508
FDF20,12.85,1,0.055603753,195.6768,1998,1,2,4,394.1536
NCP42,8.51,1,0.016135764,195.6478,1999,2,2,1,4262.4516
FDZ16,16.85,2,0.159825617,195.5478,2004,1,2,1,4262.4516
FDP08,20.5,2,0.112638016,195.5478,2002,1,2,1,3874.956
NCP42,12.83695497,1,0.028207784,195.5478,1985,1,1,4,387.4956
FDO12,15.75,1,0.055154296,195.5452,2009,2,2,2,1174.4712
NCL18,18.85,1,0.168266556,195.5136,2009,2,2,2,1749.7224
FDX51,9.5,2,0.022054553,195.4452,2004,1,2,1,4502.1396
FDA46,13.6,1,0.117537563,195.4136,1987,3,3,1,5443.5808
FDS27,10.195,2,0.012483408,195.411,2002,1,2,1,2749.754
FDC03,8.575,3,0.071958197,195.3794,1999,2,3,1,3511.4292
DRE48,8.43,1,0.066143257,195.3768,2007,1,2,1,1576.6144
FDC33,8.96,2,0.068880971,195.3768,1987,3,2,1,2759.0752
FDU40,20.85,1,0.037556341,195.3478,2009,2,2,2,1937.478
FDH10,21,1,0.049505857,195.3478,2009,2,2,2,1162.4868
FDO12,15.75,1,0.054884821,195.3452,1987,3,2,1,1761.7068
FDV60,20.2,2,0.117599259,195.311,2002,1,3,1,3338.987
FDB27,7.575,1,0.055390121,195.2768,1997,1,3,1,5715.2272
NCV06,12.83475116,1,0.066358426,195.2478,2004,2,4,3,7168.6686
NCP42,8.51,1,0.016201845,195.2478,2007,1,2,1,4262.4516
NCV06,12.83552275,1,0.116750407,195.2478,1985,1,1,4,193.7478
FDV60,20.2,2,0.117839328,195.211,2009,2,2,2,2356.932
FDY21,15.1,1,0.066147176,195.211,1987,3,2,1,3142.576
NCR54,16.35,1,0.090486828,195.211,1987,3,2,1,2553.343
FDL33,7.235,1,0.099879337,195.1452,1987,3,2,1,1761.7068
FDY21,12.83417604,1,0.172641213,195.111,1985,2,3,3,5303.097
FDY44,14.15,2,0.024503972,195.111,2009,2,2,2,982.055
FDS27,10.195,2,0.012528611,195.111,2007,1,2,1,3731.809
FDP07,18.2,1,0.089884775,195.111,2004,1,2,1,3731.809
FDC22,6.89,2,0.136314863,195.082,1987,3,2,1,2703.148
FDI57,19.85,1,0.05410964,195.0768,1999,2,2,1,1970.768
FDH10,21,1,0.049263979,195.0478,1987,3,2,1,1549.9824
FDB60,9.3,1,0.04774013,195.0136,1998,1,2,4,194.4136
FDV60,20.2,2,0.117339056,195.011,2004,1,2,1,2749.754
NCX18,14.15,1,0.00879232,195.011,2004,1,2,1,1964.11
FDX52,11.5,2,0.04224015,194.982,2007,1,2,1,3089.312
NCX18,12.83111876,1,0.015397129,194.911,1985,1,1,4,196.411
FDC22,6.89,2,0.136705075,194.882,2002,1,2,1,4440.886
FDA43,10.895,1,0.108253944,194.8794,1998,1,2,4,585.2382
FDL03,19.25,2,0.027190917,194.811,2009,2,3,2,2160.521
FDL03,19.25,2,0.027058066,194.811,1987,3,2,1,2749.754
FDX52,11.5,2,0.041994624,194.782,2004,1,2,1,3475.476
FDW28,12.83046903,1,0.088394115,194.7452,1985,2,3,3,5872.356
FDX51,9.5,2,0.02210346,194.7452,2002,1,2,1,1370.2164
FDY44,12.83106535,2,0.024286378,194.711,1985,2,3,3,5892.33
FDS27,12.83106535,2,0.0218126,194.711,1985,1,1,4,196.411
NCR54,12.83106535,1,0.158562708,194.711,1985,1,1,4,196.411
FDX52,11.5,2,0.042173667,194.682,2009,2,2,2,2316.984
FDB60,9.3,1,0.028516696,194.6136,2004,1,2,1,3110.6176
NCL18,18.85,1,0.16758389,194.6136,1997,1,2,1,2721.7904
NCL18,18.85,1,0.167444431,194.6136,1987,3,2,1,1166.4816
NCL18,12.82977961,1,0.293417759,194.6136,1985,1,1,4,583.2408
FDV60,20.2,2,0.196438668,194.611,1998,1,2,4,392.822
NCQ41,12.82845878,1,0.019386057,194.5794,1985,2,3,3,3511.4292
FDS02,10.195,2,0.146692433,194.5794,2007,1,2,1,4096.6674
NCK19,9.8,1,0.090448534,194.5478,2004,1,2,1,774.9912
FDY21,15.1,1,0.173481304,194.511,1997,1,2,1,4910.275
FDH10,21,1,0.049295686,194.4478,2004,1,2,1,968.739
NCV06,11.3,1,0.066681333,194.4478,1997,1,2,1,387.4956
FDO12,15.75,1,0.054930533,194.4452,1997,1,3,1,5089.3752
FDL33,12.82735109,1,0.099478451,194.4452,1985,2,2,3,4697.8848
FDH60,19.7,2,0.066053306,194.411,1999,2,3,1,5106.686
NCK19,9.8,1,0.090649107,194.3478,2002,1,2,1,4649.9472
NCK19,9.8,1,0.151420934,194.3478,1998,1,2,4,387.4956
FDW28,18.25,1,0.089186083,194.3452,2009,2,3,2,4502.1396
FDO12,15.75,1,0.055015935,194.3452,1999,2,2,1,2740.4328
FDC57,20.1,2,0.054816926,194.282,2009,2,2,2,1544.656
FDV26,20.25,2,0.066046669,194.2794,1999,2,2,1,4291.7468
NCP42,8.51,1,0.016143389,194.2478,2002,1,2,1,2324.9736
NCV06,11.3,1,0.066625843,194.2478,1987,3,2,1,2712.4692
FDX51,9.5,2,0.036921781,194.2452,1998,1,2,4,782.9808
FDA46,13.6,1,0.117613212,194.2136,2004,1,2,1,2527.3768
FDA43,10.895,1,0.064939211,194.1794,2009,2,2,2,2340.9528
FDC03,8.575,2,0.071832909,194.1794,2004,1,2,1,3316.3498
FDZ16,16.85,2,0.159722816,194.1478,1987,3,3,1,5812.434
FDP08,20.5,2,0.113045883,194.1478,2007,1,2,1,2906.217
FDZ16,16.85,2,0.267565911,194.1478,1998,1,2,4,1162.4868
FDD40,20.25,2,0.014816356,194.1162,1999,2,2,1,3848.324
FDZ34,6.695,1,0.075878519,194.082,1997,1,2,1,3861.64
FDS02,10.195,2,0.145867347,194.0794,1997,1,2,1,3901.588
NCV06,11.3,1,0.06705851,194.0478,2007,1,2,1,3293.7126
NCW53,18.35,1,0.030619301,194.0162,2009,2,2,2,2886.243
NCC19,6.57,1,0.096862255,193.982,2004,1,2,1,2316.984
FDC22,6.89,2,0.136428395,193.982,1997,1,2,1,1737.738
FDC57,12.82456765,2,0.095587976,193.982,1985,1,1,4,579.246
FDP08,20.5,2,0.112316501,193.9478,1987,3,2,1,4456.1994
FDL33,7.235,1,0.10016525,193.9452,2002,1,2,1,2936.178
FDV58,20.85,1,0.121250374,193.9452,1997,1,2,1,1565.9616
NCL18,18.85,1,0.167844438,193.9136,1999,2,2,1,3110.6176
FDH10,21,1,0.049583899,193.8478,2007,1,2,1,1162.4868
FDU40,20.85,1,0.037396901,193.8478,2004,1,2,1,2712.4692
FDL33,7.235,1,0.099962524,193.8452,1997,1,2,1,1957.452
FDD40,20.25,2,0.014781046,193.8162,1987,3,2,1,3463.4916
NCW53,12.81840249,1,0.053392944,193.8162,1985,1,1,4,384.8324
FDC57,20.1,2,0.054549098,193.782,1987,3,2,1,1158.492
NCQ41,14.8,1,0.019559746,193.7794,2009,2,3,2,2926.191
FDA43,12.81673073,1,0.064362554,193.7794,1985,2,2,3,4876.985
FDU38,10.8,1,0.082549896,193.7504,1997,1,2,1,4602.0096
FDJ22,18.75,1,0.05310896,193.6504,2007,1,2,1,2876.256
NCK19,9.8,1,0.09046564,193.6478,1997,1,2,1,3099.9648
FDD40,12.81656826,2,0.014721719,193.6162,1985,2,3,3,5195.2374
FDD40,20.25,2,0.014790559,193.6162,2004,1,2,1,3848.324
FDA46,13.6,1,0.117874024,193.6136,2002,1,2,1,4471.5128
NCQ41,14.8,1,0.032606181,193.5794,1998,1,2,4,390.1588
FDV26,20.25,2,0.076097073,193.5794,1987,3,2,1,1950.794
FDZ16,12.81338182,2,0.159081735,193.5478,1985,2,2,3,4649.9472
FDC22,6.89,2,0.065966417,193.482,1999,2,2,1,2510.066
FDU38,10.8,1,0.083016832,193.4504,2007,1,2,1,2876.256
FDQ37,20.75,1,0.089260667,193.4478,1997,1,2,1,4843.695
NCW53,18.35,1,0.03066757,193.4162,2007,1,2,1,2116.5782
FDC57,20.1,2,0.054584207,193.382,2004,1,2,1,4247.804
FDR47,17.85,1,0.087963415,193.3794,2007,1,2,1,4291.7468
FDC03,8.575,2,0.071786706,193.3794,1987,3,2,1,780.3176
FDQ37,20.75,1,0.089186387,193.3478,2007,3,4,1,6006.1818
FDW56,7.68,3,0.0711891,193.3162,2009,2,3,2,5772.486
FDJ28,12.3,1,0.036590807,193.3162,1998,1,2,4,192.4162
FDJ28,12.3,1,0.021860985,193.3162,1997,1,2,1,3078.6592
FDJ22,18.75,1,0.052800258,193.2504,2004,1,2,1,2684.5056
FDZ16,12.80951829,2,0.279886948,193.1478,1985,1,1,4,387.4956
NCW06,16.2,1,0.050625182,193.1162,2007,1,2,1,2501.4106
NCW53,18.35,1,0.030542489,193.1162,1999,2,2,1,2693.8268
NCL18,18.85,1,0.167552202,193.1136,2004,1,2,1,2332.9632
NCQ41,14.8,1,0.019476708,193.0794,2004,1,2,1,3901.588
FDV26,12.80644436,2,0.133347119,193.0794,1985,1,1,4,975.397
FDZ31,15.35,2,0.065939063,193.0504,1999,2,2,1,2492.7552
FDH10,21,1,0.049381666,193.0478,1999,2,2,1,1549.9824
FDB60,9.3,1,0.028566433,193.0136,1999,2,2,1,4860.34
DRM47,9.3,1,0.043777415,192.9846,2004,1,4,1,6114.7072
NCC19,12.80576895,1,0.096411426,192.982,1985,2,2,3,4633.968
FDU38,12.80576895,1,0.082150145,192.9504,2009,2,4,3,7478.2656
FDA46,13.6,1,0.117818348,192.9136,1999,2,2,1,2527.3768
DRF36,16.1,1,0.023613955,192.8846,1999,2,3,1,5350.3688
DRM47,12.80502721,1,0.04357366,192.8846,1985,2,2,3,2293.0152
NCF18,18.35,1,0.088908547,192.8504,1987,3,2,1,2876.256
FDQ37,20.75,1,0.149404057,192.8478,1998,1,2,4,774.9912
FDU40,20.85,1,0.03747983,192.7478,2002,1,2,1,2131.2258
FDU40,20.85,1,0.037372847,192.7478,1987,3,2,1,3099.9648
DRF36,16.1,1,0.023577298,192.6846,1997,1,2,1,2866.269
FDC22,6.89,2,0.136984147,192.682,2009,2,2,2,2703.148
FDX52,11.5,2,0.042087749,192.682,2002,1,2,1,3861.64
FDH10,12.80036694,1,0.086326707,192.6478,1985,1,1,4,387.4956
FDW56,7.68,1,0.070900282,192.6162,1997,1,3,1,5580.0698
FDJ22,18.75,1,0.053025371,192.5504,2009,2,3,2,2109.2544
FDU40,20.85,1,0.037403973,192.5478,1997,1,2,1,2906.217
NCW53,12.79875318,1,0.030347404,192.5162,1985,2,2,3,3078.6592
NCL18,18.85,1,0.168531813,192.5136,2007,1,2,1,2916.204
FDQ39,14.8,1,0.081042136,192.4846,1997,1,3,1,5159.2842
FDZ16,16.85,2,0.160760054,192.4478,2007,1,2,1,4843.695
NCV06,11.3,1,0.066668724,192.4478,2004,1,2,1,2712.4692
DRM47,9.3,1,0.043964058,192.3846,2009,2,3,2,4586.0304
FDR52,12.65,2,0.075981306,192.3846,1987,3,2,1,1910.846
NCC19,6.57,1,0.096799953,192.382,1987,3,2,1,4247.804
NCA41,16.75,1,0.032771033,192.3162,2007,1,2,1,2308.9944
NCW06,16.2,1,0.08425957,192.3162,1998,1,2,4,769.6648
FDX52,12.797282,2,0.073541072,192.282,1985,1,1,4,386.164
FDQ37,12.797282,1,0.088828418,192.2478,2009,2,4,3,7943.6598
NCK19,9.8,1,0.090834158,192.2478,2009,2,2,2,4068.7038
NCV06,11.3,1,0.066816565,192.2478,2002,1,2,1,1356.2346
FDU40,20.85,1,0.062606583,192.2478,1998,1,2,4,387.4956
FDP08,20.5,2,0.112410046,192.2478,1997,1,2,1,3874.956
FDW56,7.68,1,0.118672537,192.2162,1998,1,2,4,384.8324
FDR52,12.65,2,0.076354362,192.1846,2009,2,2,2,1146.5076
NCU41,18.85,1,0.052044976,192.1846,2004,1,2,1,3248.4382
NCP42,8.51,1,0.016176344,192.1478,2009,2,2,2,1937.478
NCK19,9.8,1,0.090390357,192.1478,1987,3,2,1,2324.9736
NCA41,16.75,1,0.032580547,192.1162,2004,1,2,1,3848.324
FDZ34,6.695,1,0.075864171,192.082,2004,1,4,1,6757.87
NCV06,11.3,1,0.066952965,192.0478,2009,2,2,2,3099.9648
FDQ37,20.75,1,0.089243789,192.0478,2004,1,2,1,4649.9472
FDP08,20.5,2,0.112584813,192.0478,1999,2,2,1,1549.9824
NCF18,18.35,3,0.089345074,191.9504,2009,2,3,2,5369.0112
NCF18,18.35,1,0.148938624,191.9504,1998,1,2,4,767.0016
FDG02,12.79219189,1,0.019716846,191.9188,1985,1,1,4,571.2564
NCA41,16.75,1,0.032586709,191.9162,1997,1,2,1,4040.7402
FDR52,12.65,2,0.076474728,191.8846,2007,1,2,1,1146.5076
FDZ34,6.695,1,0.065890854,191.882,1987,3,2,1,3861.64
FDH10,21,1,0.082526478,191.8478,1998,1,2,4,774.9912
FDJ08,11.1,1,0.111298111,191.7846,2007,1,2,1,3057.3536
FDR52,12.65,2,0.127283051,191.7846,1998,1,2,4,382.1692
DRM47,9.3,1,0.043785694,191.6846,1997,1,2,1,3057.3536
FDJ38,8.6,2,0.040432954,191.653,2007,1,3,1,3795.06
FDF21,10.3,2,0.058918844,191.653,1999,2,3,1,5313.084
FDU38,10.8,1,0.0824812,191.6504,1987,3,2,1,2492.7552
DRC12,17.85,1,0.03781972,191.6188,2004,1,2,1,2475.4444
FDV44,8.365,2,0.039836895,191.6188,2004,1,2,1,2094.6068
NCW06,16.2,1,0.050545502,191.6162,2009,2,2,2,1731.7458
NCA41,16.75,1,0.032637373,191.6162,1999,2,2,1,3463.4916
FDJ08,11.1,1,0.11089655,191.5846,2002,1,2,1,2101.9306
FDF21,10.3,2,0.059160135,191.553,2007,1,3,1,6641.355
NCF18,12.7929729,1,0.088551694,191.5504,1985,2,3,3,5944.2624
FDD40,20.25,2,0.014793357,191.5162,1997,1,2,1,3078.6592
FDQ39,14.8,1,0.081372267,191.4846,2009,2,3,2,3057.3536
NCC19,6.57,1,0.096880574,191.482,1997,1,3,1,5020.132
FDJ38,8.6,2,0.040268044,191.453,1999,2,2,1,1707.777
FDU38,10.8,1,0.138171603,191.4504,1998,1,2,4,575.2512
FDG02,12.79351265,1,0.011206632,191.4188,1985,2,2,3,3998.7948
FDR52,12.65,2,0.076198809,191.3846,2002,1,2,1,2675.1844
NCN19,13.1,1,0.012148836,191.353,2009,2,2,2,1328.271
FDN31,11.5,1,0.072881535,191.353,1997,1,2,1,2277.036
NCF18,18.35,1,0.089163056,191.3504,2002,1,2,1,3259.7568
FDV44,8.365,2,0.039906377,191.3188,1999,2,2,1,1713.7692
FDV44,8.365,2,0.039811272,191.3188,1987,3,2,1,2285.0256
NCW53,18.35,1,0.0304697,191.3162,1987,3,2,1,1346.9134
NCG07,12.3,1,0.052608525,191.253,2002,1,2,1,2656.542
FDN31,11.5,1,0.072820885,191.253,1987,3,2,1,3036.048
FDW56,12.79363411,1,0.070556945,191.2162,2004,2,4,3,7504.2318
FDJ28,12.3,1,0.021984639,191.2162,2007,1,2,1,1924.162
DRB13,6.115,2,0.007084185,191.153,2007,1,2,1,3415.554
FDF21,10.3,2,0.06592718,191.153,2004,1,2,1,1707.777
FDU38,10.8,1,0.082534287,191.1504,2004,1,2,1,4410.2592
FDZ31,15.35,2,0.113217223,191.1504,1997,1,2,1,1725.7536
FDO46,9.6,2,0.065927488,191.0872,2007,1,4,1,4349.0056
DRM47,9.3,1,0.043874493,191.0846,2002,1,2,1,1337.5922
NCG07,12.3,1,0.052492122,191.053,2004,1,3,1,3415.554
FDZ31,12.79662806,2,0.112668963,191.0504,1985,2,3,3,5752.512
DRJ11,9.5,1,0.065935776,190.9872,2002,1,2,1,3025.3952
DRE37,13.5,1,0.094366079,190.9872,1999,2,2,1,2836.308
DRB01,7.39,1,0.082170947,190.953,1987,3,2,1,2466.789
FDP27,12.79809971,1,0.20914265,190.953,1985,1,1,4,379.506
FDJ22,12.79809971,1,0.09246392,190.9504,1985,1,1,4,383.5008
FDW56,7.68,1,0.071010513,190.9162,1999,2,3,1,5195.2374
FDJ28,12.7990414,1,0.06591248,190.9162,1985,2,3,3,5772.486
FDP21,12.7990414,2,0.045068892,190.8872,1985,1,1,4,945.436
FDQ39,14.8,1,0.13564792,190.8846,1998,1,2,4,191.0846
FDR52,12.79867317,2,0.133144259,190.8846,1985,1,1,4,191.0846
FDP27,8.155,1,0.119428052,190.853,2004,1,2,1,2466.789
NCG07,12.3,1,0.052502049,190.853,1997,1,2,1,4364.319
NCG07,12.79961985,1,0.052247806,190.853,1985,2,2,3,4554.072
FDZ31,15.35,2,0.113195815,190.8504,2004,1,2,1,3643.2576
FDW56,7.68,1,0.071301323,190.8162,2007,1,2,1,2693.8268
NCW06,16.2,1,0.065892832,190.8162,2004,1,2,1,3271.0754
NCA41,16.75,1,0.032652796,190.8162,2002,1,2,1,2886.243
NCW06,16.2,1,0.050442528,190.8162,2002,1,2,1,2693.8268
FDV44,8.365,2,0.040069806,190.7188,2007,1,2,1,1904.188
FDD40,20.25,2,0.014823358,190.7162,2002,1,2,1,1154.4972
FDT31,19.75,1,0.012518707,190.6872,2007,1,4,1,4916.2672
FDR55,12.15,3,0.13283066,190.6872,2007,1,2,1,2269.0464
FDJ22,18.75,1,0.052917345,190.6504,2002,1,2,1,1342.2528
FDU38,12.79529509,3,0.144534212,190.6504,1985,1,1,4,575.2512
NCW53,18.35,1,0.030556922,190.6162,2002,1,2,1,3271.0754
NCA30,19,1,0.129226104,190.5872,1987,3,2,1,1890.872
FDQ39,14.8,1,0.081168135,190.5846,1999,2,2,1,3630.6074
DRK37,5,3,0.065903331,190.453,1998,1,2,4,379.506
NCZ53,12.79419343,1,0.024358634,190.4214,1985,2,3,3,5652.642
DRC12,17.85,1,0.037885683,190.4188,1999,2,2,1,952.094
FDR55,12.15,2,0.132351411,190.3872,2002,1,2,1,2836.308
NCU41,18.85,1,0.0520115,190.3846,1987,3,2,1,3630.6074
FDJ08,12.79226039,1,0.193772568,190.3846,1985,1,1,4,573.2538
DRB13,6.115,2,0.007043008,190.353,2004,1,2,1,569.259
FDJ22,12.79349372,1,0.052554508,190.3504,1985,2,2,3,1917.504
FDO46,9.6,2,0.014234595,190.2872,1999,2,2,1,4727.18
DRJ23,18.35,1,0.069745165,190.2872,1998,1,2,4,378.1744
NCN19,13.1,1,0.012167988,190.253,2007,1,2,1,4174.566
FDR55,12.15,2,0.132621594,190.1872,2009,2,3,2,3781.744
NCA30,19,1,0.129534812,190.1872,1999,2,3,1,5105.3544
NCA30,19,1,0.216478153,190.1872,1998,1,2,4,567.2616
NCU41,18.85,1,0.05213575,190.1846,2005,2,4,1,6687.961
FDP27,8.155,3,0.119351235,190.153,2004,3,4,1,4933.578
FDJ38,8.6,2,0.040197932,190.153,2004,1,2,1,3036.048
FDV44,8.365,2,0.039844429,190.1188,1997,1,2,1,1904.188
FDQ39,14.8,1,0.081026811,190.0846,2004,1,2,1,4586.0304
DRB01,12.79178327,1,0.081841136,190.053,1985,2,1,3,569.259
NCT17,10.8,1,0.041950753,190.0214,2002,1,2,1,2449.4782
FDT31,19.75,1,0.012437935,189.9872,1987,3,3,1,3781.744
DRJ11,9.5,1,0.142425145,189.9872,1998,1,2,4,756.3488
DRE37,13.5,1,0.094219593,189.9872,1997,1,2,1,1323.6104
FDQ39,12.79134192,1,0.080649685,189.9846,2004,2,4,3,6114.7072
DRF36,16.1,1,0.039463564,189.9846,1998,1,2,4,191.0846
FDT32,12.79072897,2,0.065316099,189.9214,1985,2,3,3,5087.3778
DRK37,5,1,0.065874868,189.853,2002,1,3,1,4933.578
NCN19,13.1,1,0.012089479,189.853,1987,3,3,1,3415.554
FDU28,19.2,2,0.09391835,189.8214,1997,1,2,1,942.107
FDJ38,8.6,2,0.040369315,189.753,2009,2,2,2,2846.295
NCG07,12.79170467,1,0.091924311,189.753,1985,1,1,4,189.753
FDZ31,15.35,2,0.113678422,189.7504,2009,2,4,2,2492.7552
FDJ22,18.75,1,0.052766297,189.7504,1987,3,2,1,2492.7552
NCT17,10.8,1,0.041865848,189.7214,1997,1,3,1,5841.0634
NCT17,10.8,1,0.042102658,189.7214,2007,1,2,1,1695.7926
DRC12,17.85,1,0.037826873,189.7188,1997,1,2,1,2285.0256
NCG07,12.3,1,0.05271592,189.653,2009,2,2,2,569.259
FDM12,16.7,2,0.070312473,189.6214,2007,1,2,1,2826.321
FDT32,19,2,0.065735977,189.6214,1999,2,2,1,2826.321
FDG02,7.855,1,0.011324862,189.6188,2007,1,2,1,2285.0256
FDR55,12.15,2,0.132083542,189.5872,1997,1,2,1,3403.5696
FDV45,12.78917162,1,0.078872251,189.5556,1985,1,2,4,1126.5336
NCN19,12.78917162,1,0.021184746,189.553,1985,1,1,4,379.506
FDG02,7.855,1,0.011261165,189.5188,1997,1,2,1,1904.188
DRE37,12.79008824,1,0.164966345,189.4872,1985,1,1,4,189.0872
FDT11,5.94,2,0.029538509,189.4556,2007,1,2,1,1877.556
FDT11,12.79136102,2,0.02923013,189.4556,1985,2,2,3,3567.3564
DRK37,12.79136102,1,0.077046505,189.453,1985,1,1,4,759.012
DRF36,16.1,3,0.023625114,189.3846,2002,1,2,1,3630.6074
FDQ39,14.8,1,0.065908715,189.3846,1987,3,2,1,4777.115
FDE50,12.79037268,2,0.01612717,189.3556,1985,2,2,3,2253.0672
DRJ11,9.5,1,0.085223447,189.2872,2004,2,4,1,6050.7904
FDJ08,11.1,1,0.111122936,189.2846,2009,2,3,2,3630.6074
FDJ08,11.1,1,0.11084417,189.2846,1999,2,3,1,5159.2842
FDQ39,14.8,1,0.081206491,189.2846,2002,1,2,1,1719.7614
FDN31,11.5,1,0.072994847,189.253,1999,2,2,1,1328.271
NCN19,13.1,1,0.065906234,189.253,1997,1,2,1,1518.024
DRB13,6.115,2,0.007038478,189.253,1987,3,2,1,3605.307
NCZ53,9.6,1,0.024515221,189.2214,1999,2,2,1,3956.8494
FDM12,16.7,3,0.117026714,189.2214,1998,1,2,4,188.4214
FDV44,8.365,2,0.039925235,189.2188,2002,1,2,1,4570.0512
FDR55,12.79335661,2,0.131443921,189.1872,1985,2,3,3,5294.4416
FDP21,7.42,2,0.025886443,189.1872,2007,1,2,1,4727.18
DRE37,13.5,1,0.065923988,189.1872,2004,1,2,1,1890.872
NCA30,19,1,0.065934123,189.1872,1997,1,2,1,567.2616
DRM47,9.3,1,0.073288275,189.1846,1998,1,2,4,382.1692
NCU41,18.85,3,0.052054819,189.1846,1997,1,2,1,2101.9306
FDP27,8.155,1,0.119937231,189.153,2009,2,2,2,2087.283
FDU28,12.79345638,2,0.093463546,189.1214,1985,2,2,3,2261.0568
DRC12,17.85,1,0.038040837,189.1188,2007,1,2,1,3237.1196
DRJ11,9.5,1,0.085075063,189.0872,2004,1,2,1,3970.8312
DRF36,16.1,1,0.023673342,189.0846,2009,2,3,2,5350.3688
FDR52,12.65,2,0.07603021,189.0846,2004,1,3,1,4012.7766
DRK37,12.79253731,1,0.04379158,189.053,2005,2,4,3,6261.849
FDF21,10.3,2,0.065942435,189.053,2002,1,3,1,5313.084
DRB13,6.115,2,0.01179078,189.053,1998,1,2,4,948.765
FDY46,18.6,1,0.048160824,188.9898,2007,1,2,1,3554.7062
FDG04,13.1,1,0.006061565,188.9898,2004,1,2,1,4303.0654
FDP21,7.42,2,0.0258457,188.9872,2009,2,4,2,2458.1336
DRJ11,9.5,1,0.065979084,188.9872,2007,1,2,1,1323.6104
FDG09,20.6,2,0.080235512,188.9556,1998,1,2,4,563.2668
NCA30,19,1,0.129309277,188.8872,2004,1,2,1,3592.6568
DRK37,5,1,0.044004675,188.853,1997,1,3,1,5502.837
NCN19,13.1,1,0.01209726,188.853,2004,1,2,1,3225.801
FDT32,19,2,0.10985775,188.8214,1998,1,2,4,188.4214
FDT13,12.79234717,1,0.032516546,188.8214,1985,1,1,4,753.6856
FDU58,12.79234717,2,0.028871235,188.7898,1985,2,2,3,2057.9878
DRJ11,9.5,1,0.085020342,188.7872,1987,3,2,1,1701.7848
FDJ38,8.6,2,0.040205535,188.753,2007,2,4,1,7590.12
NCG07,12.3,1,0.052458358,188.753,1987,3,3,1,3795.06
FDT32,19,2,0.065901299,188.7214,2009,2,2,2,1695.7926
FDT13,14.85,1,0.01867669,188.7214,2007,1,2,1,3956.8494
NCZ53,9.6,1,0.040969757,188.7214,1998,1,2,4,376.8428
NCB43,20.2,1,0.100319317,188.6898,2009,2,3,2,3367.6164
DRB13,6.115,2,0.007055292,188.653,1999,2,2,1,3605.307
FDF21,10.3,2,0.098464979,188.653,1998,1,2,4,189.753
NCT17,12.79322097,1,0.041663111,188.6214,2004,2,4,3,6029.4848
FDM12,16.7,2,0.069903773,188.6214,2004,1,2,1,565.2642
FDJ38,8.6,2,0.040172077,188.553,1987,3,3,1,3795.06
FDG02,7.855,1,0.011307038,188.5188,2009,2,2,2,952.094
FDU58,6.61,2,0.029129907,188.4898,2009,2,3,2,4677.245
FDU58,6.61,2,0.04855968,188.4898,1998,1,2,4,187.0898
DRJ11,9.5,1,0.085437778,188.4872,2009,2,3,2,3592.6568
FDP27,8.155,1,0.119692888,188.453,2002,1,2,1,4364.319
FDP27,8.155,1,0.199935881,188.453,1998,1,2,4,379.506
DRG25,10.5,1,0.019046089,188.424,2004,1,2,1,2237.088
FDT32,19,2,0.066005186,188.4214,2007,1,2,1,2826.321
FDT32,12.7981454,2,0.114916546,188.4214,1985,1,1,4,565.2642
FDU28,12.7981454,2,0.164438907,188.4214,1985,1,1,4,376.8428
FDY46,12.7981454,1,0.04765803,188.3898,1985,2,3,3,5238.5144
NCB43,20.2,1,0.100114941,188.3898,2002,1,2,1,3554.7062
FDP27,12.79675643,1,0.118872194,188.353,1985,2,3,3,5313.084
FDF21,12.79675643,2,0.058542509,188.353,1985,2,2,3,4364.319
FDZ36,6.035,2,0.065729039,188.324,1987,3,2,1,1491.392
FDT31,19.75,1,0.012448294,188.2872,1997,1,2,1,2647.2208
FDE50,19.7,2,0.016202582,188.2556,2004,1,2,1,3379.6008
FDG09,20.6,2,0.0480335,188.2556,2002,1,2,1,3755.112
FDB56,12.79395869,2,0.065992015,188.2556,1985,2,2,3,4693.89
FDZ36,6.035,2,0.065783783,188.224,1997,1,3,1,5779.144
FDS43,11.65,1,0.040577878,188.224,1999,2,2,1,1304.968
FDT13,14.85,1,0.018568129,188.2214,2004,1,2,1,3014.7424
DRF48,5.73,1,0.05190652,188.1898,2002,1,2,1,1496.7184
FDP21,12.79638508,2,0.025616191,188.1872,2005,2,4,3,6239.8776
DRJ23,18.35,1,0.041634206,188.1872,1987,3,3,1,3781.744
DRJ23,18.35,1,0.041904578,188.1872,2007,1,2,1,4159.9184
FDO46,9.6,2,0.014209811,188.1872,2004,1,2,1,1701.7848
FDT31,19.75,1,0.012467648,188.1872,1999,2,2,1,2458.1336
DRJ23,12.79358943,1,0.066045919,188.1872,1985,2,2,3,3214.4824
FDT31,19.75,1,0.012499004,188.0872,2009,2,4,2,2458.1336
FDT11,5.94,2,0.029492018,188.0556,2009,2,2,2,938.778
FDG09,20.6,2,0.048207431,188.0556,2007,1,2,1,2065.3116
FDZ23,17.75,2,0.067607749,188.024,1999,2,2,1,2796.36
FDZ03,13.65,2,0.13187274,188.024,1998,1,2,4,745.696
FDR55,12.15,2,0.131973625,187.9872,1987,3,2,1,2458.1336
FDV45,16.75,1,0.045230944,187.9556,2009,2,3,2,4693.89
FDV45,16.75,1,0.045138797,187.9556,2002,1,2,1,2816.334
